model,scope,regime,mae,rmse,wape,mase,n
seasonal_naive,overall,all,10.964748680483835,26.050115480854824,0.11498701701444042,0.9860788089084831,1400
seasonal_naive,regime,cold_start,19.09751137336071,41.279851627642685,0.1677238909687099,0.9480453404069037,280
seasonal_naive,regime,intermittent,2.1964285714285716,3.2792638546740074,1.4608076009501187,1.197783805123643,280
seasonal_naive,regime,mean_step,4.877809301282046,6.3500665686586215,0.03224428441928699,0.9356265771569016,280
seasonal_naive,regime,promo_driven,22.08575768031106,39.569094007692904,0.23254625259322748,0.7158531315260669,280
seasonal_naive,regime,smooth_seasonal,6.566236476036792,8.49860664959615,0.057015735816271854,1.1330851903288992,280
ets,overall,all,14.804269216465675,29.970033631116504,0.15525196298479854,0.9784444858405265,1400
ets,regime,cold_start,22.174812940869934,41.96037096358003,0.19475029155547544,0.954484559335037,280
ets,regime,intermittent,1.812388976903843,2.389829746178784,1.2053893433089693,0.9862504110608872,280
ets,regime,mean_step,4.288177432983412,5.469416994214437,0.028346580247231787,0.8303557262947573,280
ets,regime,promo_driven,40.99909797776609,51.54926850322285,0.4316893598326301,1.299204365503502,280
ets,regime,smooth_seasonal,4.746868753805085,6.1146509434582565,0.04121785985155705,0.8219273670084483,280
lightgbm,overall,all,5.869615703996286,10.516155465363687,0.061554498009147744,0.6875845461445095,1400
lightgbm,regime,cold_start,10.942998308101028,18.8782551452574,0.09610688111221302,0.6352278954123989,280
lightgbm,regime,intermittent,1.9147900417948576,2.411427836194111,1.273494564614157,1.0571817117656428,280
lightgbm,regime,mean_step,3.721923945817039,4.861230071326685,0.024603416592021508,0.7039091416374799,280
lightgbm,regime,promo_driven,8.310190278181317,11.553382832873314,0.08749999141983333,0.27443568512251726,280
lightgbm,regime,smooth_seasonal,4.458175946087186,5.799302943508006,0.03871109164164385,0.7671682967845083,280
chronos_bolt_small,overall,all,9.727984507926262,24.706523760581756,0.10201710524565989,0.7741237810505098,1400
chronos_bolt_small,regime,cold_start,17.12216830512321,38.52502045066304,0.15037544074786002,0.8226532721264616,280
chronos_bolt_small,regime,intermittent,1.5236354844910758,2.8028105998859254,1.0133442652197178,0.8166361554218728,280
chronos_bolt_small,regime,mean_step,4.248225066049026,5.425841838161411,0.028082479007702506,0.8178164509656126,280
chronos_bolt_small,regime,promo_driven,21.585572171449595,38.7528907598278,0.22727967911312164,0.6951780640226427,280
chronos_bolt_small,regime,smooth_seasonal,4.1603215125184,5.366780392584163,0.03612477149340677,0.7183349627159592,280
