model,both_zero_rate,missed_spike_rate,mean_pred_on_zero,mae
seasonal_naive,0.4357142857142857,0.74,1.3666666666666667,2.1964285714285716
ets,0.0,0.0,1.1592706825107777,1.812388976903843
lightgbm,0.0,0.0,1.3816854431309322,1.9147900417948576
chronos_bolt_small,0.6428571428571429,1.0,0.07351856397257907,1.5236354844910758
