series_id,model,regime,mase,mae
cold_001,chronos_bolt_small,cold_start,1.0339260575298501,10.384972159370685
cold_001,ets,cold_start,1.0207960497043256,10.253091581714912
cold_001,lightgbm,cold_start,1.081158756346096,10.85938738340569
cold_001,seasonal_naive,cold_start,1.2856065411133208,12.912904206383471
cold_002,chronos_bolt_small,cold_start,1.5271001701600821,35.3172921636127
cold_002,ets,cold_start,1.5850049866384044,36.65645861857479
cold_002,lightgbm,cold_start,0.9496263792672732,21.962038206924067
cold_002,seasonal_naive,cold_start,1.4827658843192026,34.291971784175296
cold_003,chronos_bolt_small,cold_start,0.7846082712591401,4.557486661334606
cold_003,ets,cold_start,0.894137174994665,5.193697795081868
cold_003,lightgbm,cold_start,0.8024651320491594,4.661210274562923
cold_003,seasonal_naive,cold_start,0.916965424915357,5.326298289272687
cold_004,chronos_bolt_small,cold_start,0.7050051971706721,31.91712756849072
cold_004,ets,cold_start,0.650690377817838,29.458176875501348
cold_004,lightgbm,cold_start,0.49144727877261735,22.24889341627929
cold_004,seasonal_naive,cold_start,0.6688755147852559,30.281457808420544
cold_005,chronos_bolt_small,cold_start,0.8061687009857003,5.585641463058683
cold_005,ets,cold_start,0.8039186407233443,5.570051636908859
cold_005,lightgbm,cold_start,0.7758924652210957,5.375868747217268
cold_005,seasonal_naive,cold_start,1.0881288643028806,7.539237995930252
cold_006,chronos_bolt_small,cold_start,0.8153799235585318,37.07932628742218
cold_006,ets,cold_start,0.8259968071755391,37.56212808375846
cold_006,lightgbm,cold_start,0.42732190244197077,19.432423821838686
cold_006,seasonal_naive,cold_start,0.771013473414734,35.06176608810187
cold_007,chronos_bolt_small,cold_start,0.9776721275969045,6.227509817271051
cold_007,ets,cold_start,1.012982036811799,6.452424489660451
cold_007,lightgbm,cold_start,0.8076568307725234,5.144557874412127
cold_007,seasonal_naive,cold_start,1.243426012795557,7.92029094740355
cold_008,chronos_bolt_small,cold_start,0.4698885141538638,19.563201622801564
cold_008,ets,cold_start,0.45442856607198445,18.919546644453202
cold_008,lightgbm,cold_start,0.24356778377102964,10.14063021164061
cold_008,seasonal_naive,cold_start,0.4699168483340675,19.564381279812633
cold_009,chronos_bolt_small,cold_start,0.746647818116496,4.3927072754091805
cold_009,ets,cold_start,0.8087955193852033,4.758337031351777
cold_009,lightgbm,cold_start,0.6437892946392859,3.78756603819781
cold_009,seasonal_naive,cold_start,0.8135189382896129,4.786126031845405
cold_010,chronos_bolt_small,cold_start,0.36013594073337307,16.19641803246076
